ID ramce	ID slovesa	Lemma			Finální třída	Finální koncept
v41ffmB	v41ffm	ozářit			x	2.5.1.2.3.1.
						
v41fhcA	v41fhc	ožrat			x	2.6.2.2.1.1
						
v41fiaA	v41fia	pálit si			x	1.1.3.4.2.
						
v41fjmA	v41fjm	pást se			vec00742	1.1.3.2.1.6
						
v41fkrA	v41fkr	perzekuovat			vec00687	2.5.3.3
						
v41flmA	v41flm	pípat			x	2.1.2.1.1.
						
v41fmjB	v41fmj	planout			P	
						
v41fnyA	v41fny	plužit			x	2.1.1.1.1.1.3.1.
						
v41fpvA	v41fpv	počíst si			vec00207	2.2.3.7
						
v41fqpA	v41fqp	podbarvit			vec00382	2.2.4.1.10.3
						
v41frdA	v41frd	podepisovat			x	2.1.5.1.2.
						
v41fscA	v41fsc	podívat			vec00869	2.7.1.1.2
						
v41fseA	v41fse	podivit se			vec01209	1.1.3.1.2.2
						
v41ftxB	v41ftx	podpisovat			x	2.1.5.1.2.
						
v41ftyB	v41fty	podpisovat se			x	2.1.5.1.2.
						
v41fwxA	v41fwx	pohlédnout			vec00402	2.2.2.9.
						
v41gazB	v41gaz	poklonit se			x	2.5.4.2.3.
						
v41gglA	v41ggl	popíchnout			vec00608	2.5.3.1.1.2
						
v41ghsA	v41ghs	popraskat			vec00681	2.4.1.1.11.1.1
						
v41gkiA	v41gki	pořezat se			vec01820	2.4.1.1.11.3.2
						
v41gniB	v41gni	postihnout			vec00082	2.4.1.1.11.3.2
						
v41gxsA	v41gxs	požírat			vec00389	2.4.2.2.4.2.2
						
v41gxtA	v41gxt	požít			vec01004	2.6.2.2.1
						
v41gygB	v41gyg	pramenit			x	1.1.4.1.3.1.1.
						
v41hbcB	v41hbc	pročesat			vec01638	2.6.1.1
						
v41hbdB	v41hbd	pročesávat			vec01638	2.6.1.1.
						
v41hebA	v41heb	prohodit si			vec00030	2.4.4.3.2.7
						
v41hehA	v41heh	prohrabovat			D	
						
v41hfyA	v41hfy	prokličkovat			x	2.1.1.1.2.3.3.2.3.
						
v41hgeA	v41hge	prokopnout se			vec00338	2.2.6.1.1.1
						
v41hgsB	v41hgs	proležet			x	2.4.2.2.4.2.5
						
v41hhzA	v41hhz	promítnout si			vec00364	2.2.3.2.2
						
v41higA	v41hig	promnout			vec01573	2.7.1.5.1.2
						
v41hkhA	v41hkh	proplétat			vec00623	2.1.4
						
v41hkoA	v41hko	proplýtvat			vec00886	2.4.2.4.2.4
						
v41hmaA	v41hma	prořítit se			vec00881	2.1.1.1.2.3.3.2
						
v41hmpA	v41hmp	prosekat			vec00884	2.5.1.2.6.1
						
v41hntB	v41hnt	prostoupit			vec00685	2.1.1.1.2.3.3
						
v41hokA	v41hok	prosvištět			vec00881	2.1.1.1.2.3.3.2
						
v41hoyA	v41hoy	prošoupávat			vec01281	2.4.2.2.4.2.5
						
v41hqeB	v41hqe	protnout			x	2.7.1.5
						
v41hsdA	v41hsd	provrtat			x	2.1.3.4.4.
						
v41hswA	v41hsw	prožrat			vec00389	2.4.2.2.4.2.2
						
v41htxA	v41htx	přebásnit			vec00095	2.4.2.2.1
						
v41hugB	v41hug	přebrat			vec00096	2.4.4.3.2.4
						
v41hvnA	v41hvn	předbíhat se			vec01851	2.5.3.1.8.2
						
v41hwkA	v41hwk	předhazovat			vec00620	2.5.3.2.2.1.2
						
v41iaqA	v41iaq	přehrávat si			vec00364	2.2.3.2.2
						
v41iarA	v41iar	přehřát			x	2.4.2.2.7.15
						
v41ibtA	v41ibt	překlápět se			x	2.1.1.1.2.2.5
						
v41ibuB	v41ibu	překlasifikovat			vec00103	2.2.2.2.1
						
v41ibvB	v41ibv	překlenout			x	2.9.6.2.1.
						
v41iddA	v41idd	překypět			vec01521	2.1.6.3
						
v41ideB	v41ide	překypovat			vec01858	1.1.4.3.3.3
						
v41idsA	v41ids	přelidnit se			x	2.4.2.2.7.4
						
v41ifoB	v41ifo	přeorientovat se			vec00645	2.4.1.2
						
v41igjA	v41igj	přeplnit			x	2.1.1.2.2.4.1
						
v41igkA	v41igk	přepnout			x	2.4.2.2
						
v41igkB	v41igk	přepnout			vec00496	2.4.1.2.9.5
						
v41iihB	v41iih	přesedlat			vec01881	
						
v41ijzB	v41ijz	přesunovat			vec00283	2.1.1.2.1.8
						
v41ikoA	v41iko	přeškolit			vec00763	2.4.2.2.5.2.2
						
v41ikxB	v41ikx	přetahovat se			vec00273	2.1.4.4.3
						
v41ilmA	v41ilm	přetrhnout			vec00903	2.4.2.2.4.2.2.2
						
v41ilmB	v41ilm	přetrhnout			vec00198	2.4.2.4.2.1.4.1
						
v41imrB	v41imr	převézt			vec00671	2.5.3.2.1.2
						
v41imvA	v41imv	převléci			vec01050	2.6.1.
						
v41ionA	v41ion	přibarvovat			vec00791	2.4.2.4.2.1.4.1
						
v41ioqA	v41ioq	přibíjet			vec00899	2.1.1.2.2.14
						
v41irkA	v41irk	přihrnout			vec00407	2.4.3.2.1.2
						
v41irnA	v41irn	přihřát si			x	2.9.
						
v41irrA	v41irr	přicházet si			vec00231	1.1.3.2.1.2.1
						
v41isaA	v41isa	přijet			x	2.1.1.1.1.1.2.2
						
v41itrA	v41itr	přilít			vec00407	2.4.3.2.1.2
						
v41ituA	v41itu	přilívat			vec00608	2.5.3.1.1.2
						
v41iueB	v41iue	přimknout se			x	2.1.1.1.2.1
						
v41iutA	v41iut	přiostřit			vec01811	2.4.2.2.5.1
						
v41iyzB	v41iyz	přistát			vec00901	2.1.1.1.2.1.8
						
v41jaiA	v41jai	přitížit se			x	2.4.1.1.11.5
						
v41jdfB	v41jdf	ptát se			vec00384	2.2.4.7
						
v41jeoA	v41jeo	racionalizovat			vec01483	2.1.5.2.3
						
v41jffA	v41jff	ranit			vec00736	2.5.3.2.4
						
v41jfjA	v41jfj	razítkovat			vec00858	2.4.2.2.7.8
						
v41jgtA	v41jgt	referovat			vec00060	2.2.4.
						
v41jlhA	v41jlh	rotovat			vec00831	2.1.1.1.1.2.3
						
v41joyB	v41joy	rozesílat			vec00209	2.1.1.2.2
						
v41jptA	v41jpt	rozežrat			vec00389	2.4.2.2.4.2.2
						
v41jpuA	v41jpu	rozfázovat			x	2.4.2.2.7.10
						
v41jqbA	v41jqb	rozhlédnout se			vec00021	2.2.5.5
						
v41jrhA	v41jrh	rozchvátit			vec01873	2.4.2.2.4.2.7
						
v41jrkA	v41jrk	rozjet			vec00038	2.3.1.1
						
v41jvtA	v41jvt	rozpočíst			x	2.1.1.2.2.
						
v41jvuA	v41jvu	rozpočíst se			vec01305	2.4.1.1.18
						
v41jvzA	v41jvz	rozpoltit			vec00296	2.1.3.2.4
						
v41jxoB	v41jxo	rozpustit			x	2.4.2.2.7.15
						
v41jxwA	v41jxw	rozrůznit se			vec01305	2.4.1.1.18
						
v41jypA	v41jyp	rozsvěcovat se			x	2.4.1.2.3.4.
						
v41kamA	v41kam	roztříštit			vec00903	2.4.2.2.4.2.2.2
						
v41kamB	v41kam	roztříštit			vec00296	2.1.3.2.4
						
v41karA	v41kar	rozutíkávat se			vec01885	2.4.1.1.11.8.1
						
v41katA	v41kat	rozuzlit			vec00301	2.1.4.1.1
						
v41kbiA	v41kbi	rozvíjet			vec00914	2.4.2.2.7.3.1
						
v41kbjA	v41kbj	rozvíjet se			vec00261	2.3.3
						
v41kdgA	v41kdg	rýžovat			vec00189	2.4.4.1
						
v41kdxA	v41kdx	řešit			vec01188	2.2.6.1.1.1.2
						
v41kiwB	v41kiw	sepisovat			vec00037	2.1.5.1.2.1
						
v41kkaB	v41kka	sesmolit			vec00040	2.1.5.1.2.1
						
v41kkxA	v41kkx	sešikovat			vec00443	2.4.4.1.2
						
v41kloA	v41klo	setřít			vec00230	2.2.2.4.1
						
v41kmaB	v41kma	sežrat			vec01323	2.4.3.1.2
						
v41kmlA	v41kml	shnít			vec00790	2.4.1.1.11.5
						
v41kmwA	v41kmw	shrabovat			vec01552	2.1.1.2.2.12
						
v41kmxB	v41kmx	shrnout			vec01106	2.1.1.2.1.1.6
						
v41knoA	v41kno	schovat			vec00514	2.5.3.2.8
						
v41knwA	v41knw	schválit			vec01076	2.5.1.3.8.1
						
v41knzA	v41knz	schvalovat			vec01076	2.5.1.3.8.1
						
v41kobA	v41kob	schylovat se			vec01201	2.4.1.2.9.3
						
v41krqA	v41krq	skrýt			vec00514	2.5.3.2.8
						
v41kssA	v41kss	slétnout			vec00028	2.4.3.1.2
						
v41kvpB	v41kvp	smířit se			x	
						
v41kweA	v41kwe	smršťovat			vec00118	2.4.3.1.2.6
						
v41kxgB	v41kxg	sníst			x	1.2.1.3.1.7.
						
v41kxmB	v41kxm	snížit se			x	2.4.1.2.6.2
						
v41kybA	v41kyb	soptit			vec01870	1.1.3.1.3.2.2
						
v41kybB	v41kyb	soptit			x	2.1.6.
						
v41kzqA	v41kzq	souznít			vec01099	2.5.2.1.1
						
v41kzrA	v41kzr	soužit			vec01898	1.1.3.2.2.3.1.2
						
v41kzzA	v41kzz	spáchat			vec00372	2.4.2.4.2.6
						
v41lbvB	v41lbv	splatit			x	
						
v41lheA	v41lhe	stáčet se			vec01347	2.1.1.1.2.3.1
						
v41lknB	v41lkn	stlačovat			vec00728	2.7.1.5.1.1
						
v41lkrA	v41lkr	stmelit			vec00723	2.4.2.2.7.11
						
v41lmpA	v41lmp	strpět			vec01128	2.5.1.7
						
v41lncA	v41lnc	střetávat			vec00307	2.5
						
v41lncB	v41lnc	střetávat			vec00307	2.5.
						
v41lreA	v41lre	svolovat			vec00012	2.5.1.4
						
v41lubB	v41lub	škudlit			vec00144	2.2.1.4.6
						
v41lwiA	v41lwi	tajit			vec00514	(2.5.3.2.8
						
v41lzaB	v41lza	tisknout			vec00728	2.7.1.5.1.1
						
v41lznA	v41lzn	tlumit			x	2.4.2.2.7.
						
v41mcwA	v41mcw	truchlit			vec00867	1.1.3.2.2.2.3
						
v41mfyB	v41mfy	ubytovávat			D	
						
v41micB	v41mic	udílet			vec00127	2.2.5.2
						
v41mjfB	v41mjf	uhnout			vec00143	2.1.1.1.2.2.3
						
v41mkrA	v41mkr	ujednat			vec00162	2.5.1.3.7.2
						
v41mloA	v41mlo	ukáznit			x	2.9.
						
v41mmjA	v41mmj	ukojit			vec00540	2.5.1.6
						
v41mphA	v41mph	umocnit			x	2.2.1.
						
v41mpiB	v41mpi	umocňovat			x	2.2.1.
						
v41mqrB	v41mqr	upéci			vec00360	2.1.5.1.9.1
						
v41mryA	v41mry	uplést si			x	2.2.
						
v41muvB	v41muv	useknout			vec00213	2.2.8
						
v41mvaA	v41mva	usíci			vec01456	2.4.2.
						
v41mwiA	v41mwi	usmolit			vec00360	2.1.5.1.9.1
						
v41mwxA	v41mwx	uspat			x	2.6.2.4.
						
v41mxxA	v41mxx	ustat			vec00213	2.2.8.
						
v41mxzA	v41mxz	ustávat			vec00213	2.2.8.
						
v41mycA	v41myc	ustavovat			vec00228	2.5.1.1.1
						
v41mzlB	v41mzl	utahovat			x	2.5.5.10.2
						
v41nahA	v41nah	utkvět			x	2.7.1.1.2
						
v41naqA	v41naq	utlumit se			x	2.4.1.2
						
v41nbhA	v41nbh	utrhnout se			vec00958	2.5.3.2.2.1.2.2
						
v41nciA	v41nci	uvalovat			vec00347	2.5.3.2.2.2.1
						
v41ncmA	v41ncm	uvázat se			vec00311	2.2.4.4.7
						
v41nfdA	v41nfd	uzobnout			vec01039	2.6.2.2.1.1.2
						
v41nffB	v41nff	uzpůsobit			vec00902	2.4.2.2.7.4.1
						
v41njxA	v41njx	věstit			vec00093	2.2.5.1.2.1.1.1
						
v41njzB	v41njz	vést si			vec00942	2.9.2
						
v41nkfA	v41nkf	vetknout			vec00735	2.1.1.2.2.2
						
v41nkyA	v41nky	vhlížet			vec00869	2.7.1.1.2
						
v41nliA	v41nli	viklat se			vec00626	2.1.1.1.1.2.1.1.2
						
v41nndA	v41nnd	vlévat			vec01923	2.1.1.2.2.8
						
v41nnvB	v41nnv	vměšovat se			vec00218	2.1.1.1.2.1.2
						
v41npcA	v41npc	vpadávat			vec00775	2.5.5.3.2.2
						
v41npdB	v41npd	vpadnout			vec00775	2.5.5.3.2.2
						
v41npnB	v41npn	vplouvat			vec00218	2.1.1.1.2.1.2
						
v41nqyB	v41nqy	vrtat se			x	2.1.1.1.1.2
						
v41nrdA	v41nrd	vřeštět			vec00426	2.2.4.4.1
						
v41nrjA	v41nrj	vsázet se			vec01148	2.5.1.8
						
v41nstA	v41nst	vtlačovat			vec00735	2.1.1.2.2.2
						
v41nuiB	v41nui	vybouchnout			vec00018	2.4.1.1.8.5
						
v41nujA	v41nuj	vyboulit se			vec00993	2.4.1.1.13
						
v41nvkB	v41nvk	vycouvat			x	2.1.1.1.2.2.
						
v41nvmA	v41nvm	vycucat si			vec01352	2.2.5.1.8
						
v41nwiA	v41nwi	vyčkávat			vec00486	2.5.5.10.1
						
v41nyhA	v41nyh	vyfasovat			x	2.5.3.2.2.
						
v41nzaB	v41nza	vyhladovět			vec00383	2.4.1.1.11.8
						
v41obgB	v41obg	vyhrknout			x	2.1.1.1.2.1.5..
						
v41odrA	v41odr	vyjevit se			vec00331	1.2.1.3.1.3
						
v41ognB	v41ogn	vykreslit			vec00638	2.1.5.1.2.2
						
v41ohcA	v41ohc	vykulminovat			vec01498	2.5.3.1.4
						
v41ohgA	v41ohg	vykvasit			vec00086	1.1.4.1.2
						
v41ojaA	v41oja	vyloučit se			x	2.6.2.3.
						
v41ojnB	v41ojn	vymáčknout			vec00816	2.4.2.2.4.1
						
v41ojtA	v41ojt	vymanévrovat			vec00884	2.5.1.2.6.1
						
v41oocA	v41ooc	vypískávat			vec01192	2.5.3.2.13
						
v41oooB	v41ooo	vyplatit se			vec00125	2.2.1.4.4
						
v41oovA	v41oov	vyplísnit			vec00958	2.5.3.2.2.1.2.2
						
v41optA	v41opt	vypodobňovat			vec00417	2.2.2.2
						
v41pagA	v41pag	vysypávat se			vec01608	2.1.1.1.1.2.1.2.3
						
v41pdtA	v41pdt	vytrpět			vec00491	2.4.1.2.5.2
						
v41pevA	v41pev	vytýkat			x	2.5.5.1.2.3
						
v41pfwA	v41pfw	vyvařit			D	
						
v41pikA	v41pik	vyzískat			vec00189	2.4.4.1
						
v41pklA	v41pkl	vyžebrávat			vec01200	2.9.7
						
v41pkpA	v41pkp	vyžívat			D	
						
v41pkxA	v41pkx	vzburcovat			x	2.3.1.1
						
v41plyB	v41ply	vzhlížet			vec00869	2.7.1.1.2
						
v41pmjA	v41pmj	vzlétnout			x	2.1.1.1.2.1.
						
v41pouA	v41pou	zabezpečovat			vec00024	2.5.1.2.3.2
						
v41pqzA	v41pqz	začínat si			x	2.2.5.10.4.
						
v41prcA	v41prc	začít si			x	2.2.5.10.4.
						
v41prrA	v41prr	zadělat			vec00196	2.5.5.9
						
v41pshA	v41psh	zadusit			vec00050	2.5.1.4.3
						
v41pvdA	v41pvd	zachytávat			vec00082	2.7
						
v41pxcB	v41pxc	zaklínit			vec00735	2.1.1.2.2.2
						
v41qcyA	v41qcy	zanalyzovat			vec00090	2.2.2.5.1
						
v41qfvA	v41qfv	zaplombovat			vec00376	2.2.8
						
v41qhbA	v41qhb	zapraskat			x	2.1.2.2.
						
v41qhbB	v41qhb	zapraskat			x	2.1.2.2.
						
v41qhtA	v41qht	zapsat se			vec00507	2.1.3.6
						
v41qmoA	v41qmo	zastírat			vec00514	2.5.3.2.8
						
v41qmxA	v41qmx	zastrkovat			x	2.4.1.2.4.1.
						
v41qnpA	v41qnp	zasunout			vec00735	2.1.1.2.2.2
						
v41qnsA	v41qns	zasvítit			x	1.1.1.2.
						
v41qnsB	v41qns	zasvítit			vec01173	1.1.1.2
						
v41qonA	v41qon	zaštukovat			x	2.4.2.2.7
						
v41qowA	v41qow	zatajovat			vec00514	2.5.3.2.8
						
v41qoxA	v41qox	zatancovat			vec00934	2.1.1.1.1.2.2.1
						
v41qrsB	v41qrs	zavánět			vec00926	1.1.1.1.1.2
						
v41qsqA	v41qsq	zavěšovat			vec00899	2.1.1.2.2.14
						
v41qujA	v41quj	zazářit			x	1.1.1.2.
						
v41qwmA	v41qwm	zbrojit			vec00461	2.5.3.1.8.1
						
v41qxwA	v41qxw	zdesetinásobit			vec00187	2.4.2.4.3.6
						
v41rcaA	v41rca	zhasínat			x	2.4.2.2.
						
v41rcfB	v41rcf	zhlédnout			vec00154	2.7.1.1.
						
v41rfeA	v41rfe	zjitřovat			vec00608	2.5.3.1.1.2
						
v41rfgA	v41rfg	zkalit			vec01752	2.4.2.4.2.1.4
						
v41rgfA	v41rgf	zkontaktovat			vec00057	2.2.4.1.9
						
v41rhkA	v41rhk	zkrvavit			x	2.4.2.2.7.6.2.1
						
v41rilA	v41ril	zlepšovat se			vec01620	2.4.1.2.3
						
v41rlsA	v41rls	zmocňovat se			vec00613	2.2.5.10.4
						
v41rmoA	v41rmo	znamenat			vec01828	2.2.4.1.7
						
v41rpxA	v41rpx	znovuobnovit			vec00246	2.4.2.4.1.3.2
						
v41rqfA	v41rqf	znovuzvolit			vec00106	2.2.5.2.1.5
						
v41rqqA	v41rqq	zocelit			vec00539	2.5.1.2.8
						
v41rsuB	v41rsu	zplodit			vec00037	2.1.5.1.2.1
						
v41rsyA	v41rsy	zpohodlnět			x	1.1.4.3.3.1.2.1
						
v41rvhA	v41rvh	zpřísnět			x	2.4.1.2.
						
v41rwtA	v41rwt	zreorganizovat			vec01864	2.1.5.2.2
						
v41rxuB	v41rxu	zřídit			vec00992	2.5.3.1.1
						
v41ryhA	v41ryh	ztenčit			vec00118	2.4.3.1.2.6
						
v41rzqA	v41rzq	ztupit			x	2.4.2.2.4.3.
						
v41sakB	v41sak	zúžit			x	2.1.5.1.2.3
						
v41sanA	v41san	zužovat			vec00118	2.4.3.1.2.6
						
v41sanB	v41san	zužovat			vec01247	(2.5.5.10.2
						
v41sevA	v41sev	žvanit			vec00031	2.2.4.2
