ID ramce	ID slovesa	Lemma			Finální třída	Finální koncept
v41hsAI	v41hs	brát			vec00113	2.3.2.
						
v41hsAJ	v41hs	brát			x	1.1.5. 
						
v41hsAK	v41hs	brát			vec00755	2.4.1.1.11.8
						
v41juI	v41ju	bývat			x	1
						
v41juJ	v41ju	bývat			vec00097	1.1.4.3.3.8
						
v41juK	v41ju	bývat			x	
						
v41juM	v41ju	bývat			x	1.1.3.1.3
						
v41juN	v41ju	bývat			vec00017	1
						
v41noB	v41no	činit			x	2.4.2.
						
v41noC	v41no	činit			vec00404	2.4.2.4.3.4
						
v41noE	v41no	činit			x	2.1.5.1.4.3.
						
v41fdA	v41fd	běžet			x	2.1.1.1.1.1.2
						
v41fdB	v41fd	běžet			vec00226	1.1.4.3.3.1.2.3
						
v41fdF	v41fd	běžet			vec00358	2.2.4.1.4.2
						
v41fdH	v41fd	běžet			x	1.1.3.1.1.1.5.
						
v41fdI	v41fd	běžet			vec00221	2.1.4.7
						
v41huA	v41hu	brát si			P	
						
v41huB	v41hu	brát si			vec00863	2.5.1.6.1.1
						
v41huD	v41hu	brát si			x	2.6.1.3.1
						
v41huF	v41hu	brát si			x	2.4.4.2.1.4.
						
v41lbA	v41lb	cítit			vec01545	2.7.
						
v41lbB	v41lb	cítit			vec00402	2.2.2.9
						
v41lbE	v41lb	cítit			vec01446	1.1.3.1.1.1.4
						
v41mtB	v41mt	čekat			vec00003	2.2.5.1.2.3
						
v41mtE	v41mt	čekat			vec00486	2.5.5.10.1
						
v41dsB	v41ds	balit			vec00603	2.4.2.2.7.2.1
						
v41dsC	v41ds	balit			vec01050	2.6.1
						
v41dsD	v41ds	balit			vec00213	2.2.8
						
v41eqA	v41eq	běhat			x	2.1.1.1.1.1.2
						
v41eqB	v41eq	běhat			x	2.1.1.1.2.1.
						
v41eqE	v41eq	běhat			x	1.1.3.2.2.3.
						
v41jmD	v41jm	bušit			vec01428	2.1.1.1.1.2.5.1
						
v41jmE	v41jm	bušit			x	2.5.1.6.3.
						
v41fkA	v41fk	bít			x	2.4.2.4.2.6
						
v41fkC	v41fk	bít			x	1.2.1.3.1.4.
						
v41fkD	v41fk	bít			x	2.2.4.1.10.2.
						
v41heC	v41he	bouchnout			x	2.1.2.4.
						
v41heD	v41he	bouchnout			vec00018	2.4.1.1.8.5
						
v41lcC	v41lc	cítit se			x	1.1.3.2
						
v41lsA	v41ls	cpát			vec00074	2.5.1.2.4.7
						
v41lsB	v41ls	cpát			vec00577	2.1.1.2.2.4.1
						
v41lsD	v41ls	cpát			vec00841	2.1.1.2.2.1.3
						
v41cbA	v41cb	aplikovat			x	2.2.3.6.
						
v41gxC	v41gx	bolet			x	1.1.1.1.1.3.
						
v41htC	v41ht	brát se			vec00071	1.1.4.1.3.1
						
v41krC	v41kr	cílit			vec00516	2.2.5.1.1.2
						
v41lxA	v41lx	cukat			vec00995	2.4.2.2.7.13.2
						
v41mfA	v41mf	cvičit			vec00531	2.5.5.8.2
						
v41mfB	v41mf	cvičit			vec00763	2.4.2.2.5.2.2
						
v41neB	v41ne	česat			vec00712	2.1.4.4.1.3
						
v41neC	v41ne	česat			vec00712	2.1.4.4.1.3
						
v41eA	v41e	absentovat			x	1.1.4.1.2.
						
v41iB	v41i	absolvovat			vec00213	2.2.8
						
v41lB	v41l	abstrahovat			vec01184	2.2.2.2.2
						
v41bpB	v41bp	angažovat			vec00837	2.5.5.2
						
v41ehA	v41eh	bát se			x	1.1.3.2.2.3.1
						
v41eiA	v41ei	bavit			vec01070	2.5.1.2.1.3
						
v41elA	v41el	bdít			vec00211	2.5.1.3.1
						
v41ftA	v41ft	bláznit			x	2.9.11.4
						
v41ftB	v41ft	bláznit			vec01978	2.4.1.2.4
						
v41giA	v41gi	blýskat se			vec01561	1.1.1.2.1
						
v41giB	v41gi	blýskat se			x	2.1.6.1.5.
						
v41gmB	v41gm	bodovat			vec00338	2.2.6.1.1.1
						
v41idB	v41id	brodit se			x	2.1.1.1.2.4.4.
						
v41iqA	v41iq	bruslit			x	2.2.3.1.
						
v41jvA	v41jv	bývávat			x	1
						
v41jvB	v41jv	bývávat			vec00017	1
						
v41jxA	v41jx	cedit			x	2.2.4.4.4.1
						
v41jxB	v41jx	cedit			x	2.1.3.4.
						
v41jyB	v41jy	cejchovat			vec01420	2.4.2.2.7.8
						
v41kdB	v41kd	cenit			vec01955	2.5.11
						
v41keB	v41ke	cenit si			vec01677	2.5.4.2.3
						
v41lrB	v41lr	couvnout			vec00143	2.1.1.1.2.2.3
						
v41mjA	v41mj	čapnout			vec00185	2.5.3.2.2.2.2
						
v41mjB	v41mj	čapnout			vec01396	2.7.1.5.1
						
v41moA	v41mo	častovat			x	2.2.4.4.9.
						
v41nrB	v41nr	činit si			P	
						
v41ocA	v41oc	čítat			vec00366	1.1.4.1.3.3
						
v41oxA	v41ox	čučet			vec01621	1.1.4.1.3.2.6
						
v41oxB	v41ox	čučet			vec00869	2.7.1.1.2
						
v41oyA	v41oy	čumět			vec00310	2.7.1.1.1
						
v41oyB	v41oy	čumět			vec00869	2.7.1.1.2
						
v41aA	v41a	=			vec00206	1.2.1.1.1.3
						
v41cA	v41c	abdikovat			vec00942	2.9.2
						
v41zA	v41z	agitovat			vec01547	2.5.1.2.10.1
						
v41ajA	v41aj	aklimatizovat se			vec00696	2.4.1.2.9.6
						
v41alA	v41al	akreditovat			vec01076	2.5.1.3.8.1
						
v41apA	v41ap	aktivizovat se			x	2.5.5.2.1.
						
v41bmA	v41bm	anektovat			vec00646	2.4.2.2.7.1.1
						
v41coA	v41co	asimilovat			x	2.4.2.4.3
						
v41ctA	v41ct	asociovat			vec00016	2.2.3.2
						
v41czA	v41cz	atomizovat			vec00296	2.1.3.2.4
						
v41diA	v41di	avansovat			x	2.5.1.1.1.
						
v41dkA	v41dk	bacit			vec00992	2.5.3.1.1
						
v41dmA	v41dm	bádat			vec00149	2.2.5.1.7
						
v41dxA	v41dx	bankrotovat			vec00599	2.4.1.2.6.1
						
v41eeA	v41ee	básnit			x	2.1.5.1.2.1
						
v41efA	v41ef	baštit			vec00828	2.6.2.2.1.1
						
v41egA	v41eg	batolit se			x	2.1.1.1.1.2.7
						
v41ekA	v41ek	bazírovat			vec00326	1.1.3.1.2.1.1
						
v41emA	v41em	bečet			x	2.1.2.5.
						
v41erA	v41er	bělat se			x	(1.1.1.1.1.
						
v41esA	v41es	belhat se			x	2.1.1.1.1.2.1.1.2
						
v41ezA	v41ez	betonovat			x	2.1.5.2.1.3.
						
v41feA	v41fe	běžkařit			x	2.1.1.1.1.1.3.
						
v41ffA	v41ff	běžkovat			x	2.1.1.1.1.1.3.
						
v41fgA	v41fg	bičovat			x	2.5.3.1.1.1.3.
						
v41fjA	v41fj	biřmovat			x	2.5.4.3.3.
						
v41fqA	v41fq	blahořečit			vec01919	2.5.4.2.1
						
v41fsA	v41fs	blamovat			vec01192	2.5.3.2.13
						
v41fuA	v41fu	blbnout			x	
						
v41fvA	v41fv	blednout			x	2.4.1.1.11.8.
						
v41fwA	v41fw	blekotat			vec01572	2.2.4.5.3)
						
v41haA	v41ha	bortit se			vec00597	2.4.1.1.11.2
						
v41hdA	v41hd	bouchat			vec01035	2.1.2.4
						
v41hfA	v41hf	bouchnout se			vec01612	2.4.1.1.11.3.2.2
						
v41hvA	v41hv	brávat			vec00172	2.1.1.2.1
						
v41hzA	v41hz	brečet			vec00867	1.1.3.2.2.2.3
						
v41ibA	v41ib	brnkat			vec00823	2.1.5.1.1.3
						
v41icA	v41ic	brnknout			vec00581	2.2.4.1.4.3
						
v41ieA	v41ie	brojit			vec00461	2.5.3.1.8.1
						
v41ijA	v41ij	brouzdat			x	2.1.1.1.2.1.8.1
						
v41ikA	v41ik	brouzdat se			x	2.1.1.1.2.3.3.
						
v41irA	v41ir	bruslívat			vec01724	2.1.1.1.1.1.4
						
v41jgA	v41jg	bujet			vec00836	2.4.3.1
						
v41jjA	v41jj	burcovat			vec00080	2.5.1.2.1.1
						
v41joA	v41jo	bydlet			vec01055	1.1.4.1.3.2.2.1
						
v41jpA	v41jp	bydlívat			vec01055	1.1.4.1.3.2.2.1
						
v41jwA	v41jw	cachtat se			vec01757	2.1.1.1.1.1.1
						
v41jzA	v41jz	ceknout			vec01529	2.2.4.1.12.3
						
v41kjA	v41kj	centrovat			x	2.5.3.1.10.3
						
v41kuA	v41ku	cinknout			vec00581	2.2.4.1.4.3
						
v41lkA	v41lk	cizelovat			vec00972	2.4.2.2.5.1.4
						
v41lmA	v41lm	claimovat			vec00272	2.5.12.2
						
v41luA	v41lu	crčet			x	2.1.1.1.2.1.7.
						
v41lyA	v41ly	cukat se			vec01630	1.1.3.1.3.1.5
						
v41lzA	v41lz	cuknout			vec00942	2.9.2
						
v41maA	v41ma	cupkat			vec00922	2.1.1.1.1.2.7
						
v41mdA	v41md	cvaknout se			x	2.1.1.1.2.2.5
						
v41miA	v41mi	čalounit			x	4.2.2.7.2.1.
						
v41mvA	v41mv	čekávat			vec00004	2.2.5.1.2.3
						
v41myA	v41my	čepovat			x	2.1.3.4.
						
v41nbA	v41nb	čertit se			vec01870	1.1.3.1.3.2.2
						
v41nfA	v41nf	česávat			vec01638	2.6.1.1
						
v41njA	v41nj	čichat			x	2.7.1.3.
						
v41nqA	v41nq	činit se			vec00273	2.1.4.4.3
						
v41ntA	v41nt	číslovat			x	2.4.2.2.7.8.2.
						
v41onA	v41on	čpět			vec00926	1.1.1.1.1.2
						
v41ooA	v41oo	črtat			vec01496	2.1.5.1.2.2.3
						
v41ozA	v41oz	čůrat			vec01816	2.6.2.3.2
						
v41paA	v41pa	čvachtat se			vec01757	2.1.1.1.1.1.1
